Complexity,Loss,Equation
1,3.5182872,"x0"
3,3.289022,"x0 * 1.0584729"
5,0.4012004,"(x0 * 5.3300614) - 35.016872"
7,0.3933606,"((x0 * 0.5379095) - 3.3611932) * x0"
9,0.39328873,"((x0 * 0.5939735) * (x0 - 7.1875896)) - -3.6674485"
