Complexity,Loss,Equation
1,0.26603428,"10.2228985"
3,0.22818926,"x0 + -7.2795973"
5,0.22418416,"34.469875 - (424.35165 / x0)"
8,0.22401452,"28.541214 - ((917.8996 / x0) / log(x0))"
