Complexity,Loss,Equation
1,0.32066542,"10.193081"
3,0.26929379,"x2 * 4.8611317"
4,0.24759962,"sqrt(x2) * 7.043919"
5,0.23930834,"18.535341 - (x0 / x2)"
7,0.23838669,"(x2 * (23.185848 - x0)) + -1.8074228"
