date,miner_revenue
2011-02-10,9069.792755784332
2011-02-11,9951.580546846435
2011-02-12,10583.82114470027
2011-02-13,10395.252
2011-02-14,10541.245755800006
2011-02-15,11812.7556350265
2011-02-16,11932.64528816
2011-02-17,12012.1284004072
2011-02-18,9528.816417
2011-02-19,7639.8014492
2011-02-20,8415.17
2011-02-21,8094.992145
2011-02-22,9181.14011380909
2011-02-23,10935.340068393
2011-02-24,10285.11689075869
2011-02-25,10250.24943615187
2011-02-26,13220.9369549285
2011-02-27,10858.9612
2011-02-28,6526.200584565277
2011-03-01,5981.81847434223
2011-03-02,7895.52891075
2011-03-03,8740.173455121001
2011-03-04,9958.90949484
2011-03-05,12609.84263297821
2011-03-06,12151.442805945
2011-03-07,9342.250830810299
2011-03-08,8137.825560717399
2011-03-09,6918.727684544635
2011-03-10,5133.028815997775
2011-03-11,5725.792361652
2011-03-12,6427.42008741324
2011-03-13,5222.633170653946
2011-03-14,5013.029721166426
2011-03-15,4879.866323815289
2011-03-16,5849.4885819
2011-03-17,5820.357832720535
2011-03-18,4899.983391063835
2011-03-19,4399.68161160675
2011-03-20,5078.241124282996
2011-03-21,5622.956670712262
2011-03-22,4822.128537101999
2011-03-23,6685.580786961818
2011-03-24,6595.457298664146
2011-03-25,7649.190814779001
2011-03-26,5904.75414152
2011-03-27,5922.141245368557
2011-03-28,6714.9555018
2011-03-29,6461.585429257925
2011-03-30,6162.92217173
2011-03-31,7888.4061712
2011-04-01,6814.799974
2011-04-02,7040.05296541164
2011-04-03,6819.5600592607
2011-04-04,6055.8609412096
2011-04-05,6890.742268
2011-04-06,5479.6188220074
2011-04-07,5542.68401276
2011-04-08,6228.007033798999
2011-04-09,5826.49831864
2011-04-10,6378.056443578849
2011-04-11,6278.8626667228
2011-04-12,7013.0381548884
2011-04-13,9035.93602768069
2011-04-14,8009.074010016
2011-04-15,6713.414502910588
2011-04-16,9085.478563959425
2011-04-17,10177.574857625
2011-04-18,8602.53175428434
2011-04-19,9219.811759068545
2011-04-20,8231.280197816439
2011-04-21,8882.8754704304
2011-04-22,12406.7416629
2011-04-23,14330.57326114
2011-04-24,13133.21288991725
2011-04-25,15145.54211114108
2011-04-26,17509.46287302731
2011-04-27,17402.502189967
2011-04-28,18141.495316995
2011-04-29,28821.3741414432
2011-04-30,32936.18762952
2011-05-01,27180.70523942477
2011-05-02,31535.40388336
2011-05-03,33311.86297457378
2011-05-04,33571.66213211435
2011-05-05,36527.98301051592
2011-05-06,37652.99210733773
2011-05-07,38982.93093859735
2011-05-08,42359.78026746255
2011-05-09,45451.375974986
2011-05-10,53163.12585673215
2011-05-11,52568.96086761
2011-05-12,53817.29422311702
2011-05-13,84902.46468163992
2011-05-14,85123.59937753729
2011-05-15,76977.10802840946
2011-05-16,98917.1609696
2011-05-17,92747.24699082151
2011-05-18,99279.11892078191
2011-05-19,59017.41503783807
2011-05-20,61591.4903351158
2011-05-21,67589.5327932835
2011-05-22,84666.7678783689
2011-05-23,101392.3975949843
2011-05-24,111085.6276618802
2011-05-25,129259.771450461
2011-05-26,130034.5913486541
2011-05-27,71094.29511444463
2011-05-28,64441.56287507383
2011-05-29,75985.42556914735
2011-05-30,67924.71006201011
2011-05-31,65539.81466451174
2011-06-01,90541.96313451037
2011-06-02,101360.7020128222
2011-06-03,144985.6542159243
2011-06-04,209453.1193139668
2011-06-05,173814.905769541
2011-06-06,214565.3131035996
2011-06-07,199554.5562829346
2011-06-08,275493.7536062001
2011-06-09,322495.804201768
2011-06-10,266974.8863292496
2011-06-11,185123.1610942147
2011-06-12,218912.6954479165
2011-06-13,221004.642653399
2011-06-14,239308.8665869223
2011-06-15,272666.5053046212
2011-06-16,156828.0221453149
2011-06-17,147746.421447725
2011-06-18,166713.3072700601
2011-06-19,194521.633088841
2011-06-20,204865.2548534275
2011-06-21,226128.0499839216
2011-06-22,233098.9823236072
2011-06-23,218285.0408555406
2011-06-24,201027.095829905
2011-06-25,128714.5837672328
2011-06-26,122343.2624787382
2011-06-27,141982.3915379143
2011-06-28,135880.3166692803
2011-06-29,145676.232201717
2011-06-30,154552.7810067129
2011-07-01,133179.5555551759
2011-07-02,130356.922059672
2011-07-03,127589.3688747215
2011-07-04,117691.6210099247
2011-07-05,89805.64626429482
2011-07-06,116172.6532254836
2011-07-07,96951.01390996562
2011-07-08,118277.9057455221
2011-07-09,107298.8628168931
2011-07-10,101204.1156456995
2011-07-11,111767.6193505843
2011-07-12,98995.42416523678
2011-07-13,133472.0293982661
2011-07-14,100971.6908493911
2011-07-15,112086.0461751644
2011-07-16,107847.5048083285
2011-07-17,112087.0672581896
2011-07-18,114269.766984418
2011-07-19,98483.69511113915
2011-07-20,101473.5881922191
2011-07-21,103574.5230857185
2011-07-22,103585.8701092036
2011-07-23,99969.4470623112
2011-07-24,116176.7328438146
2011-07-25,115690.9771508278
2011-07-26,122263.0382508287
2011-07-27,121119.7569839576
2011-07-28,104586.4265323082
2011-07-29,110914.1959636451
2011-07-30,102926.6889091702
2011-07-31,117165.0521116858
2011-08-01,108139.4990432203
2011-08-02,92951.74885013387
2011-08-03,72767.28179354039
2011-08-04,69380.19144726593
2011-08-05,68470.99719355926
2011-08-06,39875.67877771385
2011-08-07,51501.01553404313
2011-08-08,53305.22257733146
2011-08-09,71280.62772036818
2011-08-10,76219.23831687255
2011-08-11,64842.49027516181
2011-08-12,62022.75996357961
2011-08-13,65871.4829239637
2011-08-14,71022.99004950917
2011-08-15,71949.50648946683
2011-08-16,80657.14682418761
2011-08-17,74826.95147424417
2011-08-18,78162.72617776762
2011-08-19,76397.986068425
2011-08-20,87089.61386038721
2011-08-21,90650.09434915899
2011-08-22,92532.08065795162
2011-08-23,84763.51129353145
2011-08-24,72793.36909577051
2011-08-25,65426.02032358274
2011-08-26,60155.39307096556
2011-08-27,52443.41330067892
2011-08-28,52696.06236947163
2011-08-29,61927.86466439236
2011-08-30,64293.29828057439
2011-08-31,63781.04477668348
2011-09-01,53122.47199019451
2011-09-02,67316.62852526567
2011-09-03,61505.21846486563
2011-09-04,54878.12358768347
2011-09-05,59181.04768520853
2011-09-06,51873.09433153388
2011-09-07,48923.81634351301
2011-09-08,42169.13659307905
2011-09-09,38966.75810719644
2011-09-10,31708.43387435206
2011-09-11,36994.04597005055
2011-09-12,40341.11320690523
2011-09-13,40914.111869736
2011-09-14,41043.91223533438
2011-09-15,37521.32432585863
2011-09-16,28408.80256952686
