date,realized_price
2016-05-13,321.6211340709563
2016-05-14,321.8329259316308
2016-05-15,321.9466062146851
2016-05-16,321.9757842671406
2016-05-17,323.0779173599784
2016-05-18,323.2431220714098
2016-05-19,323.3553002951234
2016-05-20,323.4820281124316
2016-05-21,323.5460942540607
2016-05-22,323.5883293945511
2016-05-23,323.7553246377404
2016-05-24,323.8537409043284
2016-05-25,324.1126310601974
2016-05-26,324.3071676337391
2016-05-27,325.6007403095608
2016-05-28,326.7604388866886
2016-05-29,327.8442266744361
2016-05-30,329.0575329916896
2016-05-31,329.9259503016272
2016-06-01,330.622525455094
2016-06-02,331.7133931270304
2016-06-03,332.5396813136873
2016-06-04,333.2763389179343
2016-06-05,333.9395985881927
2016-06-06,334.9159640258243
2016-06-07,335.4278181558462
2016-06-08,336.0936849058799
2016-06-09,336.5628454601851
2016-06-10,337.1498935945179
2016-06-11,337.7362536086441
2016-06-12,340.2614293486898
2016-06-13,344.3230117901389
2016-06-14,345.6734023431024
2016-06-15,347.6185156691462
2016-06-16,352.1368678701625
2016-06-17,354.0355492411094
2016-06-18,355.343099375244
2016-06-19,356.2541872803095
2016-06-20,357.1824609256712
2016-06-21,357.4968904828233
2016-06-22,356.567906243264
2016-06-23,356.0530626432347
2016-06-24,357.0737256083371
2016-06-25,357.9398356738683
2016-06-26,357.6602044530422
2016-06-27,358.1400242690361
2016-06-28,358.509733346631
2016-06-29,358.4874790630864
2016-06-30,359.546649644406
2016-07-01,360.2676261282156
2016-07-02,360.9605900256516
2016-07-03,361.1214146059751
2016-07-04,361.5336326322128
2016-07-05,362.1506585627677
2016-07-06,362.6176836191774
2016-07-07,362.3180350183103
2016-07-08,362.7269462186557
2016-07-09,363.1903417446455
2016-07-10,363.5336432239628
2016-07-11,364.0399855700487
2016-07-12,364.4931749100203
2016-07-13,364.8393639986778
2016-07-14,365.0309695109809
2016-07-15,365.2930773527515
2016-07-16,365.5045442035733
2016-07-17,366.1735775151873
2016-07-18,366.4861482256406
2016-07-19,367.0419344065447
2016-07-20,367.1890533123595
2016-07-21,367.3528998953809
2016-07-22,367.4719663620149
2016-07-23,367.5027392916476
2016-07-24,368.1439481665707
2016-07-25,368.4741923833993
2016-07-26,368.6647063917734
2016-07-27,369.0210390973736
2016-07-28,369.2381376521379
2016-07-29,369.4744545504934
2016-07-30,369.7210217932281
2016-07-31,369.5140539146266
2016-08-01,369.2023309184556
2016-08-02,368.0871076761652
2016-08-03,367.6656096960413
2016-08-04,367.9555508267102
2016-08-05,367.9807105478256
2016-08-06,367.9079287879439
2016-08-07,368.0545025051926
2016-08-08,368.1175265191714
2016-08-09,368.0003311848377
2016-08-10,367.9163552911627
2016-08-11,367.9374180712733
2016-08-12,367.9612681246837
2016-08-13,368.0398840042564
2016-08-14,367.975478300242
2016-08-15,367.7896411078607
2016-08-16,367.9964451962929
2016-08-17,367.9863859989761
2016-08-18,368.0532364223545
2016-08-19,368.140206084199
2016-08-20,368.8160977840215
2016-08-21,368.9366563278098
2016-08-22,369.0545203438179
2016-08-23,369.0862046635858
2016-08-24,369.0430128924198
2016-08-25,369.642338249032
2016-08-26,369.7799488988156
