date,mvrv_z_score
2010-08-01,4.41007503391974
2010-08-02,4.18723059392693
2010-08-03,4.208064805067433
2010-08-04,3.718653125679817
2010-08-05,3.916180148769151
2010-08-06,3.915986080825227
2010-08-07,3.63842121166637
2010-08-08,3.703489133931339
2010-08-09,4.284301248687203
2010-08-10,3.98408008782062
2010-08-11,3.807181723550022
2010-08-12,3.922549021993974
2010-08-13,3.457993178162792
2010-08-14,3.553336290107113
2010-08-15,3.365006096378847
2010-08-16,3.319924633576556
2010-08-17,3.579335010825988
2010-08-18,3.412099082827137
2010-08-19,3.316143976112524
2010-08-20,3.096667121277307
2010-08-21,2.99580918170349
2010-08-22,2.951617832182291
2010-08-23,3.021026134490095
2010-08-24,2.978140255644997
2010-08-25,2.939087266261189
2010-08-26,2.849382692640365
2010-08-27,2.872964053178059
2010-08-28,2.845651505024835
2010-08-29,2.768460934033512
2010-08-30,2.747030336035366
2010-08-31,2.511488627817605
2010-09-01,2.649392598891554
2010-09-02,2.631415686540241
2010-09-03,2.509984902026235
2010-09-04,2.542052776145107
2010-09-05,2.520897043046545
2010-09-06,2.505226758536265
2010-09-07,2.437120339416125
2010-09-08,2.471156429875786
2010-09-09,2.398985823995603
2010-09-10,2.43248644097548
2010-09-11,2.417248687586364
2010-09-12,2.39940669478502
2010-09-13,2.383677506062028
2010-09-14,2.365180767158764
2010-09-15,2.251759178547994
2010-09-16,2.324427500797495
2010-09-17,2.195000990010327
2010-09-18,2.226239374474855
2010-09-19,2.304903216874
2010-09-20,2.288997006786033
2010-09-21,2.275298752568967
2010-09-22,2.214542727957716
2010-09-23,2.196146548312915
2010-09-24,2.180077154179965
2010-09-25,2.166251496315539
2010-09-26,2.15282230853767
2010-09-27,2.126754681120118
2010-09-28,2.080584225517341
2010-09-29,2.068807305425723
2010-09-30,2.060536985846463
2010-10-01,2.036248870892659
2010-10-02,1.922320199230974
2010-10-03,1.916279293687399
2010-10-04,1.908259331091781
2010-10-05,1.886015492716653
2010-10-06,1.966160740929191
2010-10-07,2.133980792620723
2010-10-08,2.817213895423063
2010-10-09,3.202146903114816
2010-10-10,3.048772054412027
2010-10-11,3.174662752409874
2010-10-12,3.009370049227707
2010-10-13,3.29437503864112
2010-10-14,3.322031185193384
2010-10-15,3.374611876599922
2010-10-16,3.128366539263955
2010-10-17,3.104938173754209
2010-10-18,3.049526738012521
2010-10-19,2.802719839127477
2010-10-20,2.83365556433842
2010-10-21,3.084166103015501
2010-10-22,3.126925981671992
2010-10-23,3.047080901194916
2010-10-24,3.20827327112285
2010-10-25,3.758603310653828
2010-10-26,4.276368874179893
2010-10-27,5.338266860269128
2010-10-28,4.581489162835627
2010-10-29,4.946944335419235
2010-10-30,5.015128513567586
2010-10-31,4.650292349866696
2010-11-01,4.64291053285973
2010-11-02,4.460274436169952
2010-11-03,4.49268532926139
2010-11-04,4.917750902247169
2010-11-05,5.44038212033806
2010-11-06,6.304824848640123
2010-11-07,6.683851654096652
2010-11-08,3.976531697228038
2010-11-09,3.164891659786917
2010-11-10,3.750969456693525
2010-11-11,3.327437101101159
2010-11-12,4.170016277562053
2010-11-13,4.190016325888201
2010-11-14,4.102520111327317
2010-11-15,3.765871325848207
2010-11-16,2.911418021348598
2010-11-17,2.794951618524525
2010-11-18,3.537502483548757
2010-11-19,3.68697764322131
2010-11-20,3.688884384082266
2010-11-21,3.536276630439153
2010-11-22,3.566867708760112
2010-11-23,3.533952943780746
2010-11-24,3.474175997887903
2010-11-25,3.36437426253779
2010-11-26,3.381057729529827
2010-11-27,3.314098253028536
