date,mvrv
2010-08-01,10.23837991424666
2010-08-02,9.841610700330941
2010-08-03,9.787552447991509
2010-08-04,8.67619744536481
2010-08-05,9.047664526701928
2010-08-06,8.93133252473589
2010-08-07,8.293011386276731
2010-08-08,8.3652319855318
2010-08-09,9.276040652045426
2010-08-10,8.638782042449677
2010-08-11,8.231911891960337
2010-08-12,8.434347991740994
2010-08-13,7.423276379916398
2010-08-14,7.56868069338965
2010-08-15,7.167864535056936
2010-08-16,7.013561500199242
2010-08-17,7.459917877666864
2010-08-18,7.081557185799642
2010-08-19,6.895691528183147
2010-08-20,6.477894197324006
2010-08-21,6.221655624476717
2010-08-22,6.084734237754662
2010-08-23,6.183745291372005
2010-08-24,6.083690005179978
2010-08-25,5.995066340257865
2010-08-26,5.821306573535534
2010-08-27,5.827313287811261
2010-08-28,5.765989460461954
2010-08-29,5.621548550675484
2010-08-30,5.568823041101641
2010-08-31,5.14011888248812
2010-09-01,5.354548521783784
2010-09-02,5.310735791279084
2010-09-03,5.094767649081776
2010-09-04,5.131613346247796
2010-09-05,5.061329122486821
2010-09-06,5.029416324264022
2010-09-07,4.895706273336191
2010-09-08,4.935235464118503
2010-09-09,4.753618230386344
2010-09-10,4.791359708051912
2010-09-11,4.755785933626544
2010-09-12,4.705724061170613
2010-09-13,4.666327449608127
2010-09-14,4.619353772667631
2010-09-15,4.419846442412584
2010-09-16,4.481648626782652
2010-09-17,4.18911927432448
2010-09-18,4.218895638945373
2010-09-19,4.315802826264115
2010-09-20,4.280018683286296
2010-09-21,4.248486248462598
2010-09-22,4.147683699699594
2010-09-23,4.099902720114597
2010-09-24,4.061638321567708
2010-09-25,4.030049555379066
2010-09-26,3.999158751072843
2010-09-27,3.903593342483666
2010-09-28,3.707871407017633
2010-09-29,3.678410724221793
2010-09-30,3.662389794341331
2010-10-01,3.573365291945353
2010-10-02,3.247003271125471
2010-10-03,3.23674405190839
2010-10-04,3.22202991583754
2010-10-05,3.152849252416039
2010-10-06,3.23683508978954
2010-10-07,3.414797744660693
2010-10-08,4.129589018248226
2010-10-09,4.441710660964815
2010-10-10,4.204178836201295
2010-10-11,4.307667497289244
2010-10-12,4.135823224384003
2010-10-13,4.38130930915553
2010-10-14,4.424189101982229
2010-10-15,4.406020992578561
2010-10-16,4.120760790674575
2010-10-17,4.111854463584848
2010-10-18,4.063826772079389
2010-10-19,3.825900709352118
2010-10-20,3.858404800819878
2010-10-21,4.05238424697726
2010-10-22,4.097645915187266
2010-10-23,4.012807227507586
2010-10-24,4.106887372257129
2010-10-25,4.623955295871382
2010-10-26,5.101200681543619
2010-10-27,6.048319625445929
2010-10-28,5.196165062172545
2010-10-29,5.586173817607673
2010-10-30,5.718770650459204
2010-10-31,5.379488943062091
2010-11-01,5.416520567835619
2010-11-02,5.253476456010211
2010-11-03,5.308922770939662
2010-11-04,5.51380831016977
2010-11-05,6.028490673702911
2010-11-06,6.469761702632009
2010-11-07,7.040580995542942
2010-11-08,4.17927958424963
2010-11-09,3.561731377642446
2010-11-10,4.07326298168622
2010-11-11,3.753140806417526
2010-11-12,4.479369818161053
2010-11-13,4.530715980612024
2010-11-14,4.501323487539191
2010-11-15,4.15503980402061
2010-11-16,3.458354966068554
2010-11-17,3.381375884193756
2010-11-18,4.040459098595985
2010-11-19,4.168092703690133
2010-11-20,4.167516902508157
2010-11-21,4.050839900331416
2010-11-22,4.095933825717936
2010-11-23,4.076192375957389
2010-11-24,4.034434649256017
2010-11-25,3.938813983599357
2010-11-26,3.994267403002881
2010-11-27,3.948873756660295
2010-11-28,3.870498492658109
2010-11-29,3.121421572055298
2010-11-30,2.890411654965574
2010-12-01,3.149906606104478
2010-12-02,3.406395869196616
2010-12-03,3.457026973940422
2010-12-04,2.778235381033382
2010-12-05,2.546837505917126
2010-12-06,2.72831260425452
2010-12-07,3.177400326225007
2010-12-08,2.973990644400461
2010-12-09,2.622595692213365
2010-12-10,2.666748073539909
2010-12-11,2.970193761544234
2010-12-12,2.85693336249655
2010-12-13,2.96700384481193
2010-12-14,3.175188340543752
2010-12-15,3.030257746038496
2010-12-16,3.167919349728248
2010-12-17,3.028302609319006
2010-12-18,3.024552247524973
2010-12-19,2.997412446390581
2010-12-20,3.294328622454486
2010-12-21,2.902265940933652
2010-12-22,3.011812141950051
2010-12-23,3.000111196765183
2010-12-24,2.967780307372893
2010-12-25,2.976993621896243
2010-12-26,2.97592093965881
2010-12-27,3.128489819329453
2010-12-28,3.181595077150779
2010-12-29,3.453786715140454
2010-12-30,3.430861851985412
2010-12-31,3.41400332760078
2011-01-01,3.396584848495207
2011-01-02,3.369558981919045
2011-01-03,3.293945077754031
2011-01-04,3.225733465838442
2011-01-05,3.309028554682565
2011-01-06,3.283988097296595
2011-01-07,3.503605439882096
2011-01-08,3.510165932385518
2011-01-09,3.489683366856375
2011-01-10,3.480167823559505
2011-01-11,3.393202893033566
2011-01-12,3.489389169690054
2011-01-13,3.213886732498696
2011-01-14,3.992848647945585
2011-01-15,3.825098412466511
2011-01-16,3.785149763858852
2011-01-17,3.386032764744907
2011-01-18,3.011212934884145
2011-01-19,2.977613179587601
2011-01-20,3.687707449904019
2011-01-21,3.840015782280478
2011-01-22,4.112223174285387
2011-01-23,3.835590785685106
2011-01-24,3.773322291677927
2011-01-25,3.665675823378426
2011-01-26,3.660315533437696
2011-01-27,3.258357628291214
2011-01-28,3.414473875451321
2011-01-29,3.321105426023636
2011-01-30,3.606104402346856
2011-01-31,3.964140182001509
2011-02-01,5.080818144479081
2011-02-02,4.979340163532121
2011-02-03,4.62214547105119
2011-02-04,5.544551186407233
2011-02-05,5.845741249445336
2011-02-06,5.537905612917909
2011-02-07,5.202223713929525
2011-02-08,5.03612607418181
2011-02-09,5.829936345171795
2011-02-10,5.046116610468711
2011-02-11,5.343122506499383
2011-02-12,5.628229741878035
2011-02-13,5.335760249582033
2011-02-14,5.329770050362239
2011-02-15,5.119400009268293
2011-02-16,5.038973567631998
2011-02-17,4.961261477069067
2011-02-18,4.614471391167016
2011-02-19,4.253720648341456
2011-02-20,4.011199987650824
2011-02-21,4.006348676727001
2011-02-22,4.158454410492633
2011-02-23,4.077386885658452
2011-02-24,4.467460483659479
2011-02-25,4.308993744900402
2011-02-26,4.171407721941545
2011-02-27,3.803671578728259
2011-02-28,3.584084971651339
2011-03-01,3.420544963609127
2011-03-02,3.478038790425117
2011-03-03,3.456495610819796
2011-03-04,3.296045778004597
2011-03-05,3.299563541989675
2011-03-06,3.147890076535877
2011-03-07,3.063841089813727
2011-03-08,3.050517446614589
2011-03-09,3.088865883704085
2011-03-10,3.323059336128109
2011-03-11,3.191633108201462
2011-03-12,3.126852818288471
2011-03-13,3.112314309179578
2011-03-14,3.092014065187994
2011-03-15,2.993171205193515
2011-03-16,2.922550891264446
2011-03-17,2.874076901381905
2011-03-18,2.692151078862519
2011-03-19,2.661137556023659
2011-03-20,2.562142625036727
2011-03-21,2.547470466977995
2011-03-22,2.716507875856117
2011-03-23,2.833973714588717
2011-03-24,2.913184831583091
2011-03-25,2.902555125183397
2011-03-26,2.705511196001439
2011-03-27,2.656252705834061
2011-03-28,2.582503588303644
2011-03-29,2.561811737462085
2011-03-30,2.496567531492955
2011-03-31,2.522688022519119
2011-04-01,2.484526123213401
2011-04-02,2.504251462889884
2011-04-03,2.492706721081853
2011-04-04,2.195073789653831
2011-04-05,2.372115381692696
2011-04-06,2.37467593710791
2011-04-07,2.41694909448116
2011-04-08,2.363963053743628
2011-04-09,2.296762064213352
2011-04-10,2.230888263065475
2011-04-11,2.50429700851484
2011-04-12,2.680580586767515
2011-04-13,2.857007428651605
2011-04-14,3.025952777603254
2011-04-15,2.96432814519784
2011-04-16,3.084068484966827
2011-04-17,3.473139315235367
2011-04-18,3.409927883729625
2011-04-19,3.461495239274642
2011-04-20,3.330503714416515
2011-04-21,3.402347714920542
2011-04-22,3.912585731058329
2011-04-23,4.579337106277166
2011-04-24,4.240103427319879
2011-04-25,4.085789922220171
2011-04-26,4.603571210521734
2011-04-27,4.76765595896302
2011-04-28,5.661669962548428
2011-04-29,5.624645319803038
2011-04-30,5.930196029998892
2011-05-01,5.032312332497984
2011-05-02,5.195104818312048
2011-05-03,5.114267167883098
2011-05-04,4.965651484209617
2011-05-05,4.778716552331311
2011-05-06,4.708983160985071
2011-05-07,4.914554558838259
2011-05-08,5.025602444737361
2011-05-09,4.992581899015836
2011-05-10,6.796947278141185
2011-05-11,6.086679567106001
2011-05-12,6.953691843090937
2011-05-13,7.373451443071003
2011-05-14,6.041329535585112
2011-05-15,5.748337982992306
2011-05-16,5.621941278423337
2011-05-17,5.012030943458504
2011-05-18,4.464803688154062
2011-05-19,4.656356399371938
2011-05-20,3.611836012801074
2011-05-21,4.182359623520183
2011-05-22,4.526804404886401
2011-05-23,4.667640284017467
2011-05-24,4.706008967442322
2011-05-25,5.009818209452631
2011-05-26,5.307560559039246
2011-05-27,4.865516182115877
2011-05-28,4.715493785350692
2011-05-29,4.624990154024692
2011-05-30,4.786553429719225
2011-05-31,4.582760194621409
2011-06-01,5.077785006338543
2011-06-02,5.424746108905064
2011-06-03,6.509777933490406
2011-06-04,7.853813229022627
2011-06-05,6.717894695266417
2011-06-06,6.184854505508422
2011-06-07,7.404400427029148
2011-06-08,7.808589498044587
2011-06-09,6.771505249456107
2011-06-10,5.115173481046257
2011-06-11,3.0588390330117
2011-06-12,3.551822634786472
2011-06-13,3.755296535606164
2011-06-14,3.419918348987887
2011-06-15,3.148134866141354
2011-06-16,2.669710540372558
2011-06-17,2.484912583157565
2011-06-18,2.697590363183337
2011-06-19,2.699126160654897
2011-06-20,2.679338342891072
2011-06-21,2.647380774477455
2011-06-22,2.637272247016593
2011-06-23,2.624511816510188
2011-06-24,2.607254579856182
2011-06-25,2.598947361872777
2011-06-26,2.373426836816415
2011-06-27,2.419013240252898
2011-06-28,2.413856063685468
2011-06-29,2.391854470186866
2011-06-30,2.276817560414627
2011-07-01,2.172723444270504
2011-07-02,2.168196992132566
2011-07-03,2.174693542173105
2011-07-04,1.950201694824077
2011-07-05,1.841106795813997
2011-07-06,2.061850083230631
2011-07-07,2.090387059351764
2011-07-08,1.988217378344726
2011-07-09,2.017983523305246
2011-07-10,2.041529901032222
2011-07-11,1.981220435669095
2011-07-12,1.950849485634679
2011-07-13,1.934800164801586
2011-07-14,1.928632815126756
2011-07-15,1.907888869863598
2011-07-16,1.894608122238849
2011-07-17,1.845329977122225
2011-07-18,2.087618430379357
2011-07-19,1.988494844482352
2011-07-20,1.964388259475884
2011-07-21,1.95145121432582
2011-07-22,1.96910093384814
2011-07-23,1.969707666017784
2011-07-24,1.999374397538195
2011-07-25,2.00396253071801
