date,addresses_nonzero_balance
2009-08-29,20574.0
2009-08-30,20670.0
2009-08-31,20750.0
2009-09-01,20828.0
2009-09-02,20894.0
2009-09-03,20941.0
2009-09-04,21005.0
2009-09-05,21081.0
2009-09-06,21149.0
2009-09-07,21214.0
2009-09-08,21283.0
2009-09-09,21337.0
2009-09-10,21404.0
2009-09-11,21471.0
2009-09-12,21540.0
2009-09-13,21615.0
2009-09-14,21689.0
2009-09-15,21733.0
2009-09-16,21804.0
2009-09-17,21788.0
2009-09-18,21866.0
2009-09-19,21940.0
2009-09-20,22018.0
2009-09-21,22079.0
2009-09-22,22064.0
2009-09-23,22100.0
2009-09-24,22197.0
2009-09-25,22262.0
2009-09-26,22362.0
2009-09-27,22433.0
2009-09-28,22518.0
2009-09-29,22563.0
2009-09-30,22648.0
2009-10-01,22730.0
2009-10-02,22792.0
2009-10-03,22850.0
2009-10-04,22903.0
2009-10-05,22958.0
2009-10-06,22988.0
2009-10-07,23048.0
2009-10-08,23118.0
2009-10-09,23195.0
2009-10-10,23274.0
2009-10-11,23348.0
2009-10-12,23334.0
2009-10-13,23391.0
2009-10-14,23460.0
2009-10-15,23531.0
2009-10-16,23512.0
2009-10-17,23569.0
2009-10-18,23636.0
2009-10-19,23748.0
2009-10-20,23743.0
2009-10-21,23805.0
2009-10-22,23857.0
2009-10-23,23946.0
2009-10-24,24002.0
2009-10-25,24078.0
2009-10-26,24149.0
2009-10-27,24198.0
2009-10-28,24264.0
2009-10-29,24269.0
2009-10-30,24329.0
2009-10-31,24375.0
2009-11-01,24400.0
2009-11-02,24433.0
2009-11-03,24495.0
2009-11-04,24518.0
2009-11-05,24575.0
2009-11-06,24637.0
2009-11-07,24706.0
2009-11-08,24779.0
2009-11-09,24843.0
2009-11-10,24921.0
2009-11-11,24935.0
2009-11-12,25001.0
2009-11-13,25072.0
2009-11-14,25151.0
2009-11-15,25247.0
2009-11-16,25344.0
2009-11-17,25436.0
2009-11-18,25515.0
2009-11-19,25505.0
2009-11-20,25591.0
2009-11-21,25664.0
2009-11-22,25770.0
2009-11-23,25866.0
2009-11-24,25959.0
2009-11-25,26049.0
2009-11-26,26133.0
2009-11-27,26207.0
2009-11-28,26278.0
2009-11-29,26338.0
2009-11-30,26413.0
2009-12-01,26324.0
2009-12-02,26418.0
2009-12-03,26506.0
2009-12-04,26542.0
2009-12-05,26590.0
2009-12-06,26692.0
2009-12-07,26804.0
2009-12-08,26879.0
