date,sopr
2010-08-01,1.112220262161252
2010-08-02,0.9578009160289523
2010-08-03,1.150411421044275
2010-08-04,1.270022706852723
2010-08-05,1.023487671358098
2010-08-06,1.457873935964647
2010-08-07,1.268819791174257
2010-08-08,1.263187538843486
2010-08-09,1.200693960372759
2010-08-10,1.154214064673505
2010-08-11,1.090183299794163
2010-08-12,0.9822290650358678
2010-08-13,1.514476784380673
2010-08-14,1.078598209511458
2010-08-15,1.332472551336365
2010-08-16,1.124960306451179
2010-08-17,1.027667983209063
2010-08-18,1.257080532739527
2010-08-19,1.035193300123333
2010-08-20,1.056398452757161
2010-08-21,1.25702581300182
2010-08-22,1.47487181220073
2010-08-23,1.017189855026467
2010-08-24,1.067572661838334
2010-08-25,1.023404083036175
2010-08-26,1.022606478781736
2010-08-27,1.105622726707608
2010-08-28,1.001221395000345
2010-08-29,1.004844655322915
2010-08-30,1.038311498145017
2010-08-31,1.108480038540899
2010-09-01,0.9823286269506022
2010-09-02,0.9936810204539446
2010-09-03,1.017983961420341
2010-09-04,0.9862641557564448
2010-09-05,1.051613532335594
2010-09-06,0.9815337267851736
2010-09-07,1.142841212099858
2010-09-08,1.002588940168533
2010-09-09,1.728744162396065
2010-09-10,0.9995220882018241
2010-09-11,0.9786725299435312
2010-09-12,1.119755932678855
2010-09-13,1.006229655452484
2010-09-14,1.027783150547475
2010-09-15,1.108776565939439
2010-09-16,1.400465110108985
2010-09-17,2.20573680302676
2010-09-18,1.002733371062744
2010-09-19,1.025099589741285
2010-09-20,1.004240817701461
2010-09-21,1.025540367242693
2010-09-22,1.030060547647607
2010-09-23,1.022352345256479
2010-09-24,1.041006548204823
2010-09-25,1.004053959300807
2010-09-26,1.007933386265028
2010-09-27,2.15930777499615
2010-09-28,2.838531360277747
2010-09-29,1.10568558109608
2010-09-30,0.9894509063736384
2010-10-01,1.896948867026858
2010-10-02,1.391964409921719
2010-10-03,0.9954184058567805
2010-10-04,1.006383692142547
2010-10-05,1.207876957877416
2010-10-06,1.021473408074068
2010-10-07,1.048144586455619
2010-10-08,1.188644814765667
2010-10-09,1.309750181435749
2010-10-10,1.295935722889801
2010-10-11,1.342516935369929
2010-10-12,1.045238094428365
2010-10-13,1.636415647698773
2010-10-14,1.01820400978867
2010-10-15,1.464693454567441
2010-10-16,1.246080302716307
2010-10-17,1.128623015799021
2010-10-18,1.063953180221845
2010-10-19,1.026906006015556
2010-10-20,1.090900929353795
2010-10-21,1.307404604222835
2010-10-22,1.045903960657125
2010-10-23,1.260959685494023
2010-10-24,1.43822953520608
2010-10-25,1.237911221086249
2010-10-26,1.366213550869785
2010-10-27,1.454390225317554
2010-10-28,1.917002157723431
2010-10-29,1.21116019049742
2010-10-30,1.286473744011257
2010-10-31,1.321776245777363
2010-11-01,1.149241065258027
2010-11-02,1.259831049682344
2010-11-03,1.181041600765364
2010-11-04,1.547711990323637
2010-11-05,1.623242172901072
2010-11-06,2.750311438225465
2010-11-07,1.288530243016256
