date,realized_marketcap
2011-04-14,1909792.16
2011-04-15,1929982.75
2011-04-16,1955874.7
2011-04-17,1980885.41
2011-04-18,2015667.69
2011-04-19,2049335.01
2011-04-20,2065931.76
2011-04-21,2086388.87
2011-04-22,2129305.37
2011-04-23,2196754.92
2011-04-24,2246393.96
2011-04-25,2274332.12
2011-04-26,2309844.36
2011-04-27,2366131.64
2011-04-28,2433696.41
2011-04-29,3118441.69
2011-04-30,3528052.5
2011-05-01,3625483.67
2011-05-02,3700589.76
2011-05-03,3831595.47
2011-05-04,4147412.57
2011-05-05,4227773.72
2011-05-06,4421889.69
2011-05-07,4501417.35
2011-05-08,4681786.62
2011-05-09,4783350.66
2011-05-10,5188751.88
2011-05-11,5482974.37
2011-05-12,5891604.07
2011-05-13,6977080.6
2011-05-14,7583152.0
2011-05-15,7995685.29
2011-05-16,8673890.89
2011-05-17,8996952.62
2011-05-18,9218041.97
2011-05-19,9403575.9
2011-05-20,9611820.64
2011-05-21,9237415.14
2011-05-22,9513589.28
2011-05-23,9766911.32
2011-05-24,9997948.82
2011-05-25,10251786.21
2011-05-26,10557483.37
2011-05-27,11309837.8
2011-05-28,11425639.15
2011-05-29,11553453.5
2011-05-30,11778796.85
2011-05-31,12014216.0
2011-06-01,12233263.34
2011-06-02,12703126.7
2011-06-03,13920503.85
2011-06-04,14738526.46
2011-06-05,15903800.77
2011-06-06,19461383.91
2011-06-07,20210663.5
2011-06-08,24548802.21
2011-06-09,27587308.85
2011-06-10,29950080.78
2011-06-11,30225717.1
2011-06-12,32316293.54
2011-06-13,33655359.54
2011-06-14,36454091.93
2011-06-15,39093699.38
2011-06-16,40169262.12
2011-06-17,40420502.08
2011-06-18,40701267.74
2011-06-19,42792248.41
2011-06-20,43160668.83
2011-06-21,43773974.95
2011-06-22,44026272.1
2011-06-23,44206019.32
2011-06-24,44576693.79
2011-06-25,44755852.14
2011-06-26,44942895.4
2011-06-27,45983867.4
2011-06-28,46566426.97
2011-06-29,46949251.11
2011-06-30,47447976.65
2011-07-01,47475623.44
2011-07-02,47480995.1
2011-07-03,47644274.82
2011-07-04,47626209.91
2011-07-05,47733958.0
2011-07-06,47912834.81
2011-07-07,48089660.07
2011-07-08,48149244.15
2011-07-09,48212237.71
2011-07-10,48580350.14
2011-07-11,48702914.36
2011-07-12,48812322.67
2011-07-13,48968545.79
2011-07-14,49070108.87
2011-07-15,49197490.41
2011-07-16,49271069.83
2011-07-17,49399111.11
2011-07-18,47615973.98
2011-07-19,47854528.31
2011-07-20,47386934.69
2011-07-21,47475690.6
2011-07-22,47560291.24
2011-07-23,47664456.03
2011-07-24,47807069.68
2011-07-25,47975303.89
2011-07-26,48105030.48
2011-07-27,48262477.8
2011-07-28,48292751.29
2011-07-29,48419933.98
2011-07-30,48576968.33
2011-07-31,48666372.37
2011-08-01,48709082.15
2011-08-02,48742038.35
2011-08-03,48446784.93
2011-08-04,48431588.63
2011-08-05,48343365.26
2011-08-06,47899620.39
2011-08-07,47573426.21
2011-08-08,46856974.55
2011-08-09,47050738.2
2011-08-10,47099676.35
2011-08-11,47070315.2
2011-08-12,47103376.46
2011-08-13,47182107.23
2011-08-14,47267537.56
2011-08-15,47435064.18
2011-08-16,47567616.27
2011-08-17,47683700.79
2011-08-18,47786463.22
2011-08-19,47895202.85
