date,puell_multiple
2010-07-17,1.0
2010-07-18,1.265765565662781
2010-07-19,1.128040614550591
2010-07-20,1.062644178100439
2010-07-21,1.217914176935151
2010-07-22,0.765654215218609
2010-07-23,0.9435317762765756
2010-07-24,0.8288819698870122
2010-07-25,0.9447505432226044
2010-07-26,1.090809181998307
2010-07-27,0.8113082992694894
2010-07-28,0.7801583351525636
2010-07-29,1.034617593208665
2010-07-30,0.973688494773984
2010-07-31,1.135220148036902
2010-08-01,1.188450194103982
2010-08-02,1.169197079773133
2010-08-03,1.090846449632182
2010-08-04,1.120299066146862
2010-08-05,1.054882967621454
2010-08-06,0.7337861525001299
2010-08-07,0.7442698864844483
2010-08-08,0.9866239423871728
2010-08-09,1.094227878667412
2010-08-10,1.080371161498893
2010-08-11,1.248897618292209
2010-08-12,1.205607241445301
2010-08-13,1.096700474221286
2010-08-14,1.464232793837065
2010-08-15,1.049317298365373
2010-08-16,0.7537686233854741
2010-08-17,0.7133857946033155
2010-08-18,0.7208927610786939
2010-08-19,0.7235864387293106
2010-08-20,1.015389811171077
2010-08-21,0.924660309180705
2010-08-22,1.122452765089587
2010-08-23,1.105946551481049
2010-08-24,1.114590782395041
2010-08-25,1.113011804520352
2010-08-26,1.066946901322238
2010-08-27,0.8848527362029659
2010-08-28,0.8768286680555496
2010-08-29,0.831080973227977
2010-08-30,0.7798722313284169
2010-08-31,0.8915128327652531
2010-09-01,0.7933913697979663
2010-09-02,0.8018196626880031
2010-09-03,0.8159974671298407
2010-09-04,0.9246463993694306
2010-09-05,0.8351158560926957
2010-09-06,0.8027781894013362
2010-09-07,0.8145804943349629
2010-09-08,0.8423971130538667
2010-09-09,0.6888763537952339
2010-09-10,0.9147916593700434
2010-09-11,0.8540387308489222
2010-09-12,0.9141144607259363
2010-09-13,0.8945011532996636
2010-09-14,1.057615606191683
2010-09-15,0.8598967893656282
2010-09-16,1.137561249480895
2010-09-17,1.037487934718682
2010-09-18,1.210352304269028
2010-09-19,1.090296771659804
2010-09-20,1.053044989663688
2010-09-21,0.9014810527661297
2010-09-22,0.9043441167623573
2010-09-23,1.217610133774864
2010-09-24,1.181185142319954
2010-09-25,1.063162563282885
2010-09-26,1.060005005178289
2010-09-27,1.176237835918699
2010-09-28,1.087350984059663
2010-09-29,0.8367449168679345
2010-09-30,0.7527986390564486
2010-10-01,0.7971258281294848
2010-10-02,0.516039814309675
2010-10-03,0.6295706236385045
2010-10-04,0.7939336222475032
2010-10-05,0.6578028873940479
2010-10-06,0.9165994135968439
2010-10-07,0.9133916552906578
2010-10-08,1.11282728222722
2010-10-09,1.257186403555753
2010-10-10,1.449388768619422
2010-10-11,1.270544613097109
2010-10-12,1.233950313629749
2010-10-13,1.54078452140586
2010-10-14,1.729038058716645
2010-10-15,1.527772974756926
2010-10-16,2.115822323415523
2010-10-17,2.206822678383584
2010-10-18,2.02074012833549
2010-10-19,1.943621713534759
2010-10-20,2.028341903906843
2010-10-21,1.535917525102359
2010-10-22,1.256457060480381
2010-10-23,1.408369820514367
2010-10-24,1.792691829612615
2010-10-25,2.016730828518242
2010-10-26,2.680808506693031
2010-10-27,2.903698400456709
2010-10-28,2.707623943870596
2010-10-29,2.968961693145344
2010-10-30,3.430904891380249
2010-10-31,2.329042700290272
2010-11-01,2.310269928632293
2010-11-02,2.250866515626264
2010-11-03,2.390255235545881
