Complexity,Loss,Equation
1,0.06840992,"11.273636"
3,0.06616523,"x0 + -6.522556"
5,0.06562386,"(x0 * 1.7871408) - 20.53066"
7,0.065623835,"(2.7886631 * x0) + (-20.557749 - x0)"
8,0.06561381,"sqrt((x0 - (28.450264 - x0)) * x0)"
