Complexity,Loss,Equation
1,0.05766259,"5.6654854"
3,0.019659614,"x0 + -9.835385"
5,0.019183345,"(-14.766133 / x2) + x0"
7,0.019152457,"x0 - (-9.591785 - (-29.166397 / x2))"
8,0.019029945,"-10.932743 - (x0 * (0.15449065 - sqrt(x2)))"
